luukki;kallio;mannerheimintie;makelankatu;leppavaara;lohja;tikkurila;vartiokyla;Datetime
5,5;38,7;56,8;;34,6;4,8;13,3;41,5;2015-01-01 00:00:00
9,8;13,2;25,8;;16,1;3,8;6,6;26,8;2015-01-01 01:00:00
9,1;10,2;18,9;;13,8;3,7;6,6;22,4;2015-01-01 02:00:00
9,7;7,4;13,9;;9,7;3,6;7,4;18,5;2015-01-01 03:00:00
3,8;6,6;13;;7,6;3,4;6,9;15,8;2015-01-01 04:00:00
1,7;6,3;5,1;;5,9;2,4;6,2;13,7;2015-01-01 05:00:00
5,7;5,4;6,9;;4,3;2,2;4,6;12,6;2015-01-01 06:00:00
4,4;5,8;7,5;;4,9;2,4;4,5;11,4;2015-01-01 07:00:00
9,1;5,1;0,6;;4,8;2,8;5,3;11;2015-01-01 08:00:00
6,3;5,9;2,1;;3,2;4,8;4,5;11,5;2015-01-01 09:00:00
1,2;2,6;4,7;;4,7;3,6;5,1;10,9;2015-01-01 10:00:00
1,5;1,9;2,7;;3,5;2,4;5,4;9,2;2015-01-01 11:00:00
4,1;0,2;2,1;;4,1;4,1;2;7,7;2015-01-01 12:00:00
-0,2;1,5;2,9;;2,4;4,6;2,1;8,5;2015-01-01 13:00:00
0,8;4;3,1;;2,2;5,7;4;7,6;2015-01-01 14:00:00
7,4;5,9;5,9;;4,1;5,2;8;8,8;2015-01-01 15:00:00
3,7;5,1;7,2;;5,8;4,4;7,2;8,9;2015-01-01 16:00:00
5,5;6,7;8;;4,4;4;7;9,6;2015-01-01 17:00:00
3,7;6,9;5,9;;2,1;3,4;6,2;8,1;2015-01-01 18:00:00
3,6;5,9;8,5;;2,9;2,9;5,1;7,3;2015-01-01 19:00:00
7,5;4,7;4,9;;3,6;2,3;4,5;6,7;2015-01-01 20:00:00
1,8;3,7;0,7;;2,9;2;3,6;6,9;2015-01-01 21:00:00
-0,2;3,5;0,6;;1,8;1,8;3,2;6,2;2015-01-01 22:00:00
-0,9;2,8;3,2;;0,9;1,8;2,8;6,2;2015-01-01 23:00:00
3,1;3,4;1,8;;-1,7;2,2;2,6;7,2;2015-01-02 00:00:00
2,8;2,9;1,2;;1,5;2,4;3,1;6,9;2015-01-02 01:00:00
5,1;3;4,9;;3,5;2,9;3,6;6,8;2015-01-02 02:00:00
4,3;1,7;5,2;;3,7;4;4,2;6,7;2015-01-02 03:00:00
1,4;5,4;3,4;;4,6;5,5;5,1;7,2;2015-01-02 04:00:00
4,5;2,7;6,7;;4,2;3;7,1;7,2;2015-01-02 05:00:00
4,5;-0,3;5,4;;2,1;0,8;4,7;6,1;2015-01-02 06:00:00
-0,2;-0,9;1,6;;2,3;0,4;2,3;4,9;2015-01-02 07:00:00
1,7;-2,2;4;;3,5;0,3;1,5;4,2;2015-01-02 08:00:00
1,8;-3,5;1,8;;2,3;0;1,1;3,8;2015-01-02 09:00:00
3,1;-3,9;0,4;;2,7;0,1;0,7;3,2;2015-01-02 10:00:00
0,1;-3,6;0,9;;1,3;0,2;0,6;2,7;2015-01-02 11:00:00
-2,4;-3,7;2;;2,5;0,3;0,8;2,5;2015-01-02 12:00:00
-0,9;-2;-1,2;;0,3;0,5;0,9;2,4;2015-01-02 13:00:00
-2,8;1,2;-0,2;;0,9;0,8;1,4;2,5;2015-01-02 14:00:00
-2;0;2,6;;0,5;0,3;1,3;2,5;2015-01-02 15:00:00
-1,1;0,3;-2,2;;1,5;0,1;0,2;2,1;2015-01-02 16:00:00
-1,2;1,6;-0,4;;1,5;0,7;0,2;1,9;2015-01-02 17:00:00
1,7;2,7;3,7;;1,2;1,4;1,2;2,1;2015-01-02 18:00:00
-0,4;4,6;2;;0,2;1;1,7;2,2;2015-01-02 19:00:00
1,9;2,9;1,5;;-0,4;0,4;1,1;2,1;2015-01-02 20:00:00
0,8;3;-0,4;;0,7;0,4;0,6;1,9;2015-01-02 21:00:00
-0,2;2,2;-1,2;;0;0,4;0,5;1,9;2015-01-02 22:00:00
1,5;1;4;;1,9;0,3;0,4;1,9;2015-01-02 23:00:00
2,7;-1,5;4,6;;2,2;0,3;0,4;1,8;2015-01-03 00:00:00
0,5;0,2;2,2;;1,7;0,4;0,3;1,8;2015-01-03 01:00:00
1,1;1,3;0,8;;-1,2;0,5;0,6;1,7;2015-01-03 02:00:00
0,9;3,6;-3,3;;-0,1;0;0,3;1,8;2015-01-03 03:00:00
-2,3;0,5;-2,5;;-0,6;0,3;0,1;1,8;2015-01-03 04:00:00
-1,9;0,2;-0,4;;-1,2;0,9;0,6;1,9;2015-01-03 05:00:00
-0,6;2,4;-0,6;;-1,9;1,4;1,3;2,2;2015-01-03 06:00:00
4,2;1,5;-0,6;;0,9;1,5;1,4;2,3;2015-01-03 07:00:00
2,1;3,2;1,5;;0,1;1,2;1,2;2,3;2015-01-03 08:00:00
-2,3;3,8;0,4;;0,7;0,7;0,6;2,2;2015-01-03 09:00:00
1,8;2,6;-0,6;;-0,5;0,4;0,2;2,1;2015-01-03 10:00:00
-1,1;0,9;0,1;;0,5;0,2;0;2;2015-01-03 11:00:00
-0,1;2,5;-0,2;;1,2;0,2;0,1;2;2015-01-03 12:00:00
-1;2,8;2;;1,9;0;0,2;2;2015-01-03 13:00:00
-1;1,5;3,2;;-1,7;0;0,2;2;2015-01-03 14:00:00
2,5;2,5;2,6;;2,1;0,2;0,2;2;2015-01-03 15:00:00
-1,1;2,7;-1;;-0,5;0,3;0,4;2;2015-01-03 16:00:00
0,5;2;4,3;;-4,4;0,3;0,7;2,2;2015-01-03 17:00:00
-0,6;1,7;0,4;;0;0,2;0,3;2,1;2015-01-03 18:00:00
0;2,3;2,5;;2,4;0,2;0,5;2,1;2015-01-03 19:00:00
-0,5;2,6;2,4;;0,9;0,4;0,3;2;2015-01-03 20:00:00
0,8;1,9;1,7;;-0,3;0,3;0,2;1,8;2015-01-03 21:00:00
-2,3;3,2;0,9;;-0,9;0,8;0,2;1,7;2015-01-03 22:00:00
-1,5;2,3;0,7;;-2,2;0,2;0,2;1,7;2015-01-03 23:00:00
-2,1;3,1;2,9;;-3;0,2;0,3;1,6;2015-01-04 00:00:00
-0,2;2,4;3,7;;-2,1;0,4;0,5;1,6;2015-01-04 01:00:00
-1,2;1,4;0,7;;-1,4;0,2;0,4;1,6;2015-01-04 02:00:00
1,4;4;8,2;;0,7;0,3;0,5;1,6;2015-01-04 03:00:00
3,8;4,3;1,7;;0,3;0,2;0,5;1,7;2015-01-04 04:00:00
-0,6;3,8;1,8;;0,6;0,3;0,9;1,9;2015-01-04 05:00:00
4,8;4,9;1,7;;-0,7;0,5;1;1,9;2015-01-04 06:00:00
-0,4;5,8;-2;;0,1;0,5;0,6;1,9;2015-01-04 07:00:00
4,5;4,7;2,6;;1,2;0,7;0,6;1,7;2015-01-04 08:00:00
1,7;5,4;1,9;;0,4;1;0,5;1,8;2015-01-04 09:00:00
1,8;5,8;-0,5;;-1;0,8;0,9;1,8;2015-01-04 10:00:00
0,1;4,7;0,3;;0;1,1;0,9;2;2015-01-04 11:00:00
2,8;3,8;-1,4;;2;1,4;0,6;2;2015-01-04 12:00:00
1,3;5,3;0,4;;1;2,5;1;2;2015-01-04 13:00:00
1,4;6,9;1,4;;1,7;2,4;2,1;2,4;2015-01-04 14:00:00
5,7;5,6;1,7;;1,5;2,8;2,5;2,6;2015-01-04 15:00:00
3,1;5,9;3,6;;3,2;2,4;2,9;2,7;2015-01-04 16:00:00
4,4;5,6;5;;1,9;1,6;3,5;12,7;2015-01-04 17:00:00
3,7;5,9;3,9;;1,9;1,6;2,3;4,6;2015-01-04 18:00:00
3,2;6,1;3,5;;3,1;2,3;2;3,5;2015-01-04 19:00:00
4,5;6,4;5,6;;4;2,6;1,9;3;2015-01-04 20:00:00
-3,5;4,9;3,8;;2,9;3,3;1,2;2,8;2015-01-04 21:00:00
-3;2,4;-0,1;;0,7;3,1;1,3;2,4;2015-01-04 22:00:00
2,4;3,3;-3,1;;1,4;1,6;1;2,6;2015-01-04 23:00:00
3,2;3,6;-0,1;;0,2;0,8;0,8;2,7;2015-01-05 00:00:00
2;4,6;0,5;;0,9;1,1;1,5;2,9;2015-01-05 01:00:00
2,6;5,7;5,4;;0,2;1;2,9;3,6;2015-01-05 02:00:00
7,1;7,4;7,9;;0,6;0,5;3,8;4,5;2015-01-05 03:00:00
3,9;9,3;5,4;;2,2;2,1;3,8;4,9;2015-01-05 04:00:00
10,9;8,6;7,3;;5,8;3,4;3,8;5;2015-01-05 05:00:00
8;15,8;7,6;;4,3;3,5;3,8;4,7;2015-01-05 06:00:00
6,4;18,1;6,5;;4;4,2;3,7;5;2015-01-05 07:00:00
7,6;13,6;7,9;;4,8;3,7;3,7;4,4;2015-01-05 08:00:00
6,3;13,1;9,7;;5,1;3,4;3,7;4;2015-01-05 09:00:00
2,1;14,4;7,4;;4,4;3,5;4;4,3;2015-01-05 10:00:00
0,8;13,6;9,8;;5;3;4,1;4,6;2015-01-05 11:00:00
1,2;12;9,5;;4,3;3,1;4;4,3;2015-01-05 12:00:00
7,6;7,1;6,5;;3,4;3,3;4;4,4;2015-01-05 13:00:00
9,5;8,4;9,3;;3,4;4,1;4,1;4,7;2015-01-05 14:00:00
0,6;8,1;7,5;;3,9;4,8;4,5;5,8;2015-01-05 15:00:00
-2,6;7,8;9;;5;3,9;5,2;6,6;2015-01-05 16:00:00
4,8;8,9;9;;5,8;3,8;6,2;6;2015-01-05 17:00:00
-2,8;9,1;8;;6,6;4,8;7,2;6,2;2015-01-05 18:00:00
16,6;8,4;7,3;;3,7;3,4;7,3;6,1;2015-01-05 19:00:00
;9;8,3;;5,7;3,7;7,1;5,9;2015-01-05 20:00:00
;8,7;9,1;;4,2;3,4;7,4;5,5;2015-01-05 21:00:00
;8,1;10,9;;5;3,4;6,8;6,3;2015-01-05 22:00:00
;7,3;10,4;;6,3;3,4;5,9;8;2015-01-05 23:00:00
;6,4;9,4;;4,7;3,4;5,8;6,7;2015-01-06 00:00:00
;6,6;7,9;;4,6;3,2;5,5;6,7;2015-01-06 01:00:00
;6,4;5,2;;9,1;3,4;5,1;6,2;2015-01-06 02:00:00
;5,4;8,3;;9,5;3,7;5;5,4;2015-01-06 03:00:00
;4,8;6,6;;-4,3;4,5;5;5;2015-01-06 04:00:00
;6,2;6,2;;5,7;3,7;5,1;4,9;2015-01-06 05:00:00
;6,8;2,8;;11,4;3,8;5,1;3,8;2015-01-06 06:00:00
;9;4,2;;6,5;4,8;6,9;1,5;2015-01-06 07:00:00
;9,9;3,4;;0,4;6,2;8;3,2;2015-01-06 08:00:00
;9,4;6,1;;-1,6;7,7;10;6,6;2015-01-06 09:00:00
;9,7;8,5;;11,9;14,3;13,4;15,1;2015-01-06 10:00:00
;7,3;12;;16,3;14,6;12,4;20,5;2015-01-06 11:00:00
;8,1;10,2;;14,9;18,4;10,8;22,7;2015-01-06 12:00:00
;8,2;18,5;;15,7;20,4;13,1;22,5;2015-01-06 13:00:00
;8,8;11,4;;12,7;17,8;11;27,7;2015-01-06 14:00:00
15,9;13,5;12,7;;20,6;12;18,8;28,3;2015-01-06 15:00:00
7,9;11,3;14,1;;20,1;6,4;20,6;34,9;2015-01-06 16:00:00
7,3;12,3;11,8;;33,7;6,1;24,2;26,9;2015-01-06 17:00:00
9,6;15,4;12;;34,8;8,7;36;34;2015-01-06 18:00:00
13,1;18,3;14,7;;20,8;8,3;43,1;40,1;2015-01-06 19:00:00
11,2;11,7;13,2;;24,8;3,7;48,5;35,9;2015-01-06 20:00:00
9,6;0,7;1,9;;27,2;2,8;46,6;22,1;2015-01-06 21:00:00
9,5;1,5;-1,1;;17,6;1,6;35,3;8,1;2015-01-06 22:00:00
10,2;1,7;1,6;;10,4;2,1;5,6;6,7;2015-01-06 23:00:00
4;0,8;-0,3;;8,4;1,5;2,3;7,3;2015-01-07 00:00:00
1,7;2,8;0;;2,1;1,4;2,3;8,3;2015-01-07 01:00:00
2,3;2,7;2,6;;3,5;1,4;3,1;9;2015-01-07 02:00:00
11,3;3,6;1,8;;2,5;1,5;3,8;9,5;2015-01-07 03:00:00
6,8;1,6;2,1;;2,3;1,2;3,4;8,3;2015-01-07 04:00:00
4,5;2,4;2,7;;4,9;1;3,2;7,9;2015-01-07 05:00:00
3,1;1,5;2,6;;4,3;2,1;2,9;7,5;2015-01-07 06:00:00
0,5;2,9;2,4;;3;3,1;3,1;7,8;2015-01-07 07:00:00
;3,3;2,8;;3,2;2,5;2,9;7;2015-01-07 08:00:00
-4,5;5;4;;2,8;2,8;3,3;7,3;2015-01-07 09:00:00
-1,1;3,3;3;;1,4;3,2;3,6;7,3;2015-01-07 10:00:00
1,6;3,2;2,1;;2,7;4,3;3,5;7,1;2015-01-07 11:00:00
2,1;2,8;2,2;;;4,1;3,5;6,6;2015-01-07 12:00:00
3,5;3,8;3,9;;;3,9;3,4;6,4;2015-01-07 13:00:00
-2,8;3,3;3,6;;;3,4;3,5;6;2015-01-07 14:00:00
5;3,7;5,9;;;2,8;3,7;5,6;2015-01-07 15:00:00
4,3;4,6;5,2;;3,4;3,2;3,9;5,7;2015-01-07 16:00:00
5,8;2,6;6,7;;4,5;3,1;4,3;6,1;2015-01-07 17:00:00
1,1;4;5,1;;5,8;3,1;4,1;6,1;2015-01-07 18:00:00
3,5;3,7;3,7;;4;4,2;4,3;6,6;2015-01-07 19:00:00
1,8;6,2;5,8;;5,2;5;5,1;6,9;2015-01-07 20:00:00
4,4;5,4;4,8;;7,2;5,4;5,8;7,1;2015-01-07 21:00:00
7,6;6,6;6,9;;5,9;6,2;6;7,3;2015-01-07 22:00:00
9,4;8,3;10,2;;8,4;6,7;6,4;8,9;2015-01-07 23:00:00
9,4;6,7;8,8;;2,7;7,1;7;10,9;2015-01-08 00:00:00
7,9;7,4;7,8;;6,3;6,9;7;11,3;2015-01-08 01:00:00
2,2;6,5;6,8;;7,9;7,3;7,4;11,9;2015-01-08 02:00:00
7,3;7,6;8,6;;7,5;8,4;8,7;13,1;2015-01-08 03:00:00
13,9;9,7;9,7;;9,9;8,2;10,5;13,4;2015-01-08 04:00:00
13,4;8,9;8,1;;10,9;8;10,9;13,9;2015-01-08 05:00:00
14;11,3;9;;13,3;6,5;11,3;13,5;2015-01-08 06:00:00
8,2;9,5;6,7;;11,6;4,1;10;12,1;2015-01-08 07:00:00
6,1;9,7;8,2;;9,4;2,2;9,1;10,6;2015-01-08 08:00:00
-2,2;7,4;8,5;;8,1;1,9;9,7;8,8;2015-01-08 09:00:00
-3,3;4,1;5,4;;6,4;2;5,6;7,5;2015-01-08 10:00:00
0,1;6;4,9;;3,9;2,1;8,2;8,7;2015-01-08 11:00:00
2,8;5,3;7,2;;4,4;1,4;6,7;7,3;2015-01-08 12:00:00
1,9;3,4;9,5;;4,8;0,4;5,4;6;2015-01-08 13:00:00
1,3;1,8;2;;2,4;0,7;3,6;4,8;2015-01-08 14:00:00
-1,9;2,1;2,7;;2,2;1;3,3;4,3;2015-01-08 15:00:00
-1,4;0,9;5,1;;3,6;0,3;2,3;4,1;2015-01-08 16:00:00
0,7;0,9;4,5;;-0,1;0,8;2;3,3;2015-01-08 17:00:00
;0,8;5,1;;-0,9;1,4;2,2;2,9;2015-01-08 18:00:00
-3,4;1,3;0,6;;0,6;1,6;2,6;3,4;2015-01-08 19:00:00
2,6;1,4;1,5;;-0,4;1,4;3,5;3,9;2015-01-08 20:00:00
-0,7;1,3;-0,6;;3,3;1,3;2,5;2,9;2015-01-08 21:00:00
-2,2;1,4;-1,8;;1,5;1,3;2,2;2,8;2015-01-08 22:00:00
-0,6;1,4;3,5;;0,1;1,3;2,3;2,5;2015-01-08 23:00:00
0,1;1,2;2;;-2,1;1,1;2,3;2;2015-01-09 00:00:00
0,9;0,5;1,7;;-0,6;0,9;2;2,1;2015-01-09 01:00:00
-0,6;0,8;3;;0,4;1;1,9;2,2;2015-01-09 02:00:00
-3,1;-0,6;0,4;;-0,2;0,9;1,7;2,3;2015-01-09 03:00:00
0,9;1,2;-1,4;;0,4;1,5;2,2;2,5;2015-01-09 04:00:00
1,5;0,1;2;;1,5;1,9;3,2;2,8;2015-01-09 05:00:00
-0,8;3,9;-1,2;;2,8;2,1;2,3;3,1;2015-01-09 06:00:00
;3,3;-1;;2,1;2,7;2,5;3,2;2015-01-09 07:00:00
7,8;1,9;3,1;;2,4;1,4;2,8;3,5;2015-01-09 08:00:00
0,7;0,4;2,6;;2,8;1,2;3,4;3,8;2015-01-09 09:00:00
0,5;0,7;0,5;;4,3;1;4,3;5;2015-01-09 10:00:00
1,4;0;4,1;;3,4;1,3;3,2;4,9;2015-01-09 11:00:00
-4,2;1;3;;3;0,9;2,1;3,5;2015-01-09 12:00:00
-1,3;2,1;0,4;;0,5;4,5;2,2;3,4;2015-01-09 13:00:00
-1,3;1,9;-0,3;;2,3;3,2;2,6;4,2;2015-01-09 14:00:00
-0,2;2,5;2,6;;1,7;1,8;2,8;3,4;2015-01-09 15:00:00
-0,5;2,1;4,1;;1,5;8,3;2,9;3,3;2015-01-09 16:00:00
0,4;3,4;1,8;;3,5;4,4;2,1;3,8;2015-01-09 17:00:00
0,3;2,3;4,4;;1,9;6,3;3,4;4,7;2015-01-09 18:00:00
-1,2;2,6;3,8;;1,4;7,2;4,5;4,8;2015-01-09 19:00:00
1,5;2,2;12,2;;2,8;4,3;1,9;4;2015-01-09 20:00:00
1,1;2,9;2,4;;3,6;9,5;1,8;2,9;2015-01-09 21:00:00
7,9;2,8;0,5;;0,5;3;2,3;3;2015-01-09 22:00:00
2,6;1,8;4;;0,1;1,2;3,6;3,8;2015-01-09 23:00:00
1;3,6;2,3;;0,7;1,5;4,3;4,4;2015-01-10 00:00:00
0,2;3,3;1,1;;0,3;1,8;4,1;4,1;2015-01-10 01:00:00
0,4;3,3;2,3;;2,6;1,3;3,1;3,7;2015-01-10 02:00:00
2,4;2,5;5,1;;2,8;7,3;1,8;3,4;2015-01-10 03:00:00
3,7;0,3;2,8;;2,7;11,9;1,3;2,6;2015-01-10 04:00:00
6,2;3,1;2,6;;0,7;13,1;2;2,8;2015-01-10 05:00:00
8;7,7;5;;0,5;20,4;2,4;3,3;2015-01-10 06:00:00
4,6;5,7;2,3;;2,9;11,2;2,8;3,8;2015-01-10 07:00:00
0,6;4,9;5,1;;2,9;17,2;3;3,6;2015-01-10 08:00:00
4,7;4,9;5,4;;4,3;4,5;3,2;3,7;2015-01-10 09:00:00
2,3;3,7;4,9;;4,3;4;3,2;4,1;2015-01-10 10:00:00
2,1;4;1,3;;4,8;5,9;3,7;4,8;2015-01-10 11:00:00
4,1;5,1;3,6;;3,6;2,8;4,7;5,8;2015-01-10 12:00:00
-2;5,1;1,9;;4,6;3,5;4,5;4,7;2015-01-10 13:00:00
4,3;3,5;7,8;;5,5;3,1;5,1;9,8;2015-01-10 14:00:00
8,2;3,5;7,9;;4,6;4,3;7,5;6,3;2015-01-10 15:00:00
8,8;3,4;10,6;;6,1;4,2;5,7;5,3;2015-01-10 16:00:00
4,1;0,7;10,8;;5,6;4,7;3,2;5,3;2015-01-10 17:00:00
-0,1;2,2;5,5;;3,7;3,7;3;5,2;2015-01-10 18:00:00
3,9;-2,1;4;;1,8;2;2,5;3,8;2015-01-10 19:00:00
4,3;-0,8;6,4;;-0,7;1,8;1;2,9;2015-01-10 20:00:00
2,3;-1,2;1,6;;0,6;1,6;1,1;2,4;2015-01-10 21:00:00
2,7;-1,2;1,9;;0,2;1,3;1,2;2,3;2015-01-10 22:00:00
-1,5;0;-1,1;;2;0,6;0,9;1,9;2015-01-10 23:00:00
-0,6;0,2;;;0,5;0,2;0,6;1,6;2015-01-11 00:00:00
-1,3;-0,2;2,9;;0,6;0,1;0,6;1,6;2015-01-11 01:00:00
-0,4;0,5;1,1;;0,3;0,2;0,3;1,5;2015-01-11 02:00:00
-0,2;0,7;1,2;;-1,3;0,1;0,1;1,5;2015-01-11 03:00:00
1,6;1,2;0;;-0,2;0;0,3;1,6;2015-01-11 04:00:00
-2;1,1;0,5;;-1,6;0,2;0,5;1,5;2015-01-11 05:00:00
-0,5;1,7;-1,5;;0;0,2;0,6;1,8;2015-01-11 06:00:00
2,6;3;0,3;;-0,1;0,7;1,7;1,9;2015-01-11 07:00:00
4,6;3,4;4,8;;3,6;1,9;2,8;2,3;2015-01-11 08:00:00
8,7;4,9;3,9;;4,4;2,1;3,3;2,4;2015-01-11 09:00:00
7,1;6,3;5,7;;4,5;2,8;3,8;2,6;2015-01-11 10:00:00
4,2;6,6;7;;2,9;3,1;3,5;3,5;2015-01-11 11:00:00
1,9;6,2;6,6;;4,5;2,9;3,4;3,7;2015-01-11 12:00:00
5,4;7,7;6,7;;4,5;2,9;3,5;4,1;2015-01-11 13:00:00
7,5;8,4;6,1;;4,3;3,1;3,7;4,1;2015-01-11 14:00:00
6,1;8,6;4,8;;5,5;3,2;4;4,2;2015-01-11 15:00:00
5,3;8,3;4,5;;6,1;3,6;4,4;5,1;2015-01-11 16:00:00
4,9;9,2;6;;5,6;3,6;5,1;7,9;2015-01-11 17:00:00
5,5;9,2;7,2;;2,2;3,6;5,2;8;2015-01-11 18:00:00
3;9,8;9,3;;5,4;4,1;5,4;7,2;2015-01-11 19:00:00
3,4;10,3;10,5;;5,7;4,5;5,5;6,9;2015-01-11 20:00:00
8,6;10,8;5,6;;5;4,4;5,7;6,7;2015-01-11 21:00:00
21,1;11,4;6;;5,3;4,6;5,7;7;2015-01-11 22:00:00
9,1;11,4;10,3;;6,2;4,7;6;7,4;2015-01-11 23:00:00
10,5;11,6;10,1;;4,5;4,7;6,2;8,5;2015-01-12 00:00:00
10,3;11,4;9;;7,2;4,6;6,3;9,1;2015-01-12 01:00:00
10,1;11,3;8,4;;6,6;4,9;6,1;8,8;2015-01-12 02:00:00
11;11,9;9,3;;5,7;5,3;5,8;8,5;2015-01-12 03:00:00
8,6;9;8,3;;5,7;4,8;5,6;8,4;2015-01-12 04:00:00
9,1;10;7,5;;6,3;24,7;5,4;8,2;2015-01-12 05:00:00
6,6;10,3;10,2;;8,4;13,4;5,7;10,3;2015-01-12 06:00:00
11,6;10,3;5,7;;8;12,6;6,1;9,7;2015-01-12 07:00:00
15,6;9,4;10,1;;5,7;10,4;7;9,6;2015-01-12 08:00:00
1,6;9,9;9,2;;5,5;13,2;7,2;10,6;2015-01-12 09:00:00
4,9;10,6;7,5;;7,3;13,6;7,6;10,1;2015-01-12 10:00:00
7;8,1;7,7;;7,4;7,5;6,5;9,8;2015-01-12 11:00:00
4,8;9,8;11,4;;6,8;6,1;7,1;10,2;2015-01-12 12:00:00
6,7;12,4;4;;8,7;11,9;6,8;10,8;2015-01-12 13:00:00
10;10,3;8,8;;7,7;7,9;9,7;11,6;2015-01-12 14:00:00
-2,6;10,4;4,8;;14,9;9;14,4;11,8;2015-01-12 15:00:00
-2,4;9,2;10,9;;18,7;13,9;17,8;12,6;2015-01-12 16:00:00
-2;9,7;10,5;;16,1;10,1;17,2;10,8;2015-01-12 17:00:00
8,2;11,1;11;;16,1;8,7;15,5;11,6;2015-01-12 18:00:00
12,5;9,8;10,3;;10,8;8,3;11,4;10,5;2015-01-12 19:00:00
12,8;6,9;8,9;;11,8;7,1;8,2;8,7;2015-01-12 20:00:00
12,9;1,8;-1,4;;7,6;4,9;6,6;6,2;2015-01-12 21:00:00
14;-0,1;-1;;1,8;2,9;4,3;5,8;2015-01-12 22:00:00
1,9;-0,1;6,6;;2,7;2,7;2,7;7,1;2015-01-12 23:00:00
-0,9;-0,3;2,2;;3;2,1;2,8;9,1;2015-01-13 00:00:00
-1,3;-0,6;1,1;;3,5;0,6;2,6;8,6;2015-01-13 01:00:00
0,4;2;-2,3;;1,5;1;1;7,4;2015-01-13 02:00:00
;3,9;1;;0,4;1,5;1,5;6,8;2015-01-13 03:00:00
-2,7;3,9;4,2;;1,3;1,6;1,9;6,1;2015-01-13 04:00:00
0,1;2,5;1,8;;2;1,3;2,4;6,1;2015-01-13 05:00:00
5,1;4,9;2,1;;5;1,1;2,3;6,3;2015-01-13 06:00:00
1;4,1;5,2;;2,3;1;1,8;5,5;2015-01-13 07:00:00
4,4;6,5;1,9;;1,5;1,2;1,7;5,4;2015-01-13 08:00:00
2,3;4,1;3;;2,7;1,3;1,6;4,9;2015-01-13 09:00:00
2,8;5,1;0,7;;4,2;1,1;1,6;4,5;2015-01-13 10:00:00
1,4;6,1;2,6;;2,4;1,1;2;4,1;2015-01-13 11:00:00
-0,2;6;2,9;;;1,3;1,8;3,9;2015-01-13 12:00:00
1,1;7;2,9;;;1,2;1,9;3,8;2015-01-13 13:00:00
2,8;8,1;5,7;;;1,5;2,1;4;2015-01-13 14:00:00
3,3;7,5;4,3;;;1,7;2,4;6,4;2015-01-13 15:00:00
2,6;5,4;4,8;;;2,4;4;5,4;2015-01-13 16:00:00
0,4;3,7;5;;-1,7;5,6;3,8;4,8;2015-01-13 17:00:00
1;6,4;1,2;;3,2;8;6,1;5,1;2015-01-13 18:00:00
1,9;7,4;2,7;;5,4;7,4;9,9;7,3;2015-01-13 19:00:00
1,2;6,2;6,3;;5,1;7,3;9,3;6,9;2015-01-13 20:00:00
4,9;5;5,7;;4;6,7;9;6,8;2015-01-13 21:00:00
2,6;3,1;0,3;;5,1;2,9;7,5;5,5;2015-01-13 22:00:00
3,3;2,9;2,5;;4,4;0,7;5,7;5;2015-01-13 23:00:00
0,6;0,8;1;;1,9;0,2;3,1;3,7;2015-01-14 00:00:00
-3,8;0,8;0,8;;1,8;-0,1;0,6;3,1;2015-01-14 01:00:00
0,3;1,1;1,3;;1,5;-0,1;0,1;2,9;2015-01-14 02:00:00
0;2,3;-2,8;;0,1;0;0,9;3,1;2015-01-14 03:00:00
-3,9;3,3;-2,9;;-0,4;0,8;0,5;2,6;2015-01-14 04:00:00
-0,7;3,8;2,1;;0,1;1,3;1,8;3,1;2015-01-14 05:00:00
-0,6;5,5;4,4;;-0,5;1,5;2,8;3,4;2015-01-14 06:00:00
-0,1;6,7;2,3;;3,2;1,8;3,3;3,5;2015-01-14 07:00:00
4,2;5,2;1,8;;2,5;2,8;3,3;3,4;2015-01-14 08:00:00
2,3;5,3;3,8;;3,1;4;3,9;3,6;2015-01-14 09:00:00
-0,3;6,3;-1;;2,6;4;5,3;3,4;2015-01-14 10:00:00
-1,4;4,4;1,4;;2,3;3;5,1;3,2;2015-01-14 11:00:00
-0,4;4,8;3,5;;;2,6;4,6;2,8;2015-01-14 12:00:00
0,5;4,1;2,4;;;1,8;3,7;2,9;2015-01-14 13:00:00
5,9;4,5;2,9;;;2,5;3,8;3;2015-01-14 14:00:00
2,8;3,8;-0,5;;;2,8;3,9;2,9;2015-01-14 15:00:00
4,2;3,6;5,4;;;2,9;4,4;3;2015-01-14 16:00:00
0,5;4,6;1,7;;;3,2;4,8;3,1;2015-01-14 17:00:00
0,6;5,8;2,1;;;4,2;4,6;3;2015-01-14 18:00:00
1,9;5,5;2,9;;;3,4;9,4;3,1;2015-01-14 19:00:00
0;5,4;4,6;;;3;7,5;3,4;2015-01-14 20:00:00
0,1;5,1;4,6;;;2,2;5,9;3,1;2015-01-14 21:00:00
-4,1;4,1;-1,8;;;2;4,4;3,1;2015-01-14 22:00:00
-1;4,1;3,9;;;1,8;3,4;2,5;2015-01-14 23:00:00
1,5;4,1;2;;;2;3,2;2,4;2015-01-15 00:00:00
2,7;3,6;-0,1;;;1,8;3;2,5;2015-01-15 01:00:00
1,1;3,9;1;;;2;2,5;2,5;2015-01-15 02:00:00
3,3;4,7;0,8;;;2,1;2,7;2,7;2015-01-15 03:00:00
3,7;5,3;2,8;;;2,5;3,6;2,7;2015-01-15 04:00:00
1,2;5,7;3,7;;;2;4,4;3,3;2015-01-15 05:00:00
